2022-03-19 10:52:56,702 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:57,062 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:57,062 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:57,484 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:57,484 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:57,843 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:57,859 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:58,219 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:53:19,869 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:53:21,230 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 10:53:28,639 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:55:31,910 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:55:35,726 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 10:57:33,124 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:57:45,056 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:57:52,452 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:08:38,722 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:08:40,634 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 11:09:02,627 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 11:09:06,455 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:50,216 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:50,622 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:50,638 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:50,966 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:50,981 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:51,310 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:51,325 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:51,654 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:51,670 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:52,013 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:52,013 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:52,373 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:52,373 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:52,732 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:52,732 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:53,092 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:53,092 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:53,436 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:53,451 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:53,858 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:53,874 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:54,233 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:54,233 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:54,593 | INFO | app.py:24 (disconnect) | disconnecting from the app
